ocel:eid,time:timestamp,concept:name,case:concept:name,case:role,case:weight,case:price,case:ocel:type
place_o-990001,2023-04-03 12:08:18+00:00,place order,AlpenTech Innovations AG,,,,customers
place_o-990002,2023-04-03 16:36:55+00:00,place order,AlpenTech Innovations AG,,,,customers
place_o-990003,2023-04-03 23:31:23+00:00,place order,Celtica Green Farms Oy,,,,customers
place_o-990004,2023-04-04 12:30:50+00:00,place order,Baltic Wave Energies Ltd.,,,,customers
confirm_o-990002,2023-04-04 16:09:41+00:00,confirm order,AlpenTech Innovations AG,,,,customers
confirm_o-990001,2023-04-04 16:34:29+00:00,confirm order,AlpenTech Innovations AG,,,,customers
place_o-990005,2023-04-04 17:21:59+00:00,place order,AlpenTech Innovations AG,,,,customers
confirm_o-990005,2023-04-04 20:51:37+00:00,confirm order,AlpenTech Innovations AG,,,,customers
place_o-990006,2023-04-05 06:24:56+00:00,place order,Balkan Minerals d.o.o.,,,,customers
confirm_o-990006,2023-04-05 11:27:31+00:00,confirm order,Balkan Minerals d.o.o.,,,,customers
place_o-990007,2023-04-05 13:05:45+00:00,place order,Riviera Robotics SAS,,,,customers
confirm_o-990003,2023-04-05 15:27:08+00:00,confirm order,Celtica Green Farms Oy,,,,customers
place_o-990008,2023-04-05 17:31:49+00:00,place order,AlpenTech Innovations AG,,,,customers
confirm_o-990007,2023-04-05 18:01:56+00:00,confirm order,Riviera Robotics SAS,,,,customers
place_o-990009,2023-04-06 08:13:07+00:00,place order,Vesta Fashion House GmbH,,,,customers
confirm_o-990008,2023-04-06 09:27:43+00:00,confirm order,AlpenTech Innovations AG,,,,customers
confirm_o-990009,2023-04-06 10:12:38+00:00,confirm order,Vesta Fashion House GmbH,,,,customers
place_o-990010,2023-04-06 13:09:59+00:00,place order,Vesta Fashion House GmbH,,,,customers
confirm_o-990004,2023-04-06 15:26:08+00:00,confirm order,Baltic Wave Energies Ltd.,,,,customers
confirm_o-990010,2023-04-06 16:31:47+00:00,confirm order,Vesta Fashion House GmbH,,,,customers
place_o-990011,2023-04-06 17:40:17+00:00,place order,Eastern Oak Insurance Zrt.,,,,customers
place_o-990012,2023-04-07 08:53:28+00:00,place order,SwissPeak Timepieces AG,,,,customers
confirm_o-990012,2023-04-07 10:03:35+00:00,confirm order,SwissPeak Timepieces AG,,,,customers
place_o-990013,2023-04-07 14:10:31+00:00,place order,Mediterranea Luxury Cruises S.p.A.,,,,customers
confirm_o-990013,2023-04-07 15:19:53+00:00,confirm order,Mediterranea Luxury Cruises S.p.A.,,,,customers
place_o-990014,2023-04-07 18:41:21+00:00,place order,Celtica Green Farms Oy,,,,customers
place_o-990015,2023-04-09 14:15:59+00:00,place order,Iberian Sun Solaridades SA,,,,customers
place_o-990016,2023-04-10 11:37:17+00:00,place order,Nordica Systems GmbH,,,,customers
place_o-990017,2023-04-10 16:34:53+00:00,place order,Golden Fleece Textiles S.A.R.L.,,,,customers
confirm_o-990014,2023-04-10 17:36:39+00:00,confirm order,Celtica Green Farms Oy,,,,customers
confirm_o-990017,2023-04-10 19:28:12+00:00,confirm order,Golden Fleece Textiles S.A.R.L.,,,,customers
confirm_o-990011,2023-04-10 21:55:54+00:00,confirm order,Eastern Oak Insurance Zrt.,,,,customers
place_o-990018,2023-04-10 23:25:17+00:00,place order,AlpenTech Innovations AG,,,,customers
confirm_o-990018,2023-04-11 09:03:16+00:00,confirm order,AlpenTech Innovations AG,,,,customers
confirm_o-990016,2023-04-11 09:30:24+00:00,confirm order,Nordica Systems GmbH,,,,customers
confirm_o-990015,2023-04-11 10:47:20+00:00,confirm order,Iberian Sun Solaridades SA,,,,customers
place_o-990019,2023-04-11 12:24:07+00:00,place order,Nordica Systems GmbH,,,,customers
place_o-990020,2023-04-11 17:08:33+00:00,place order,Pantheon Art Gallery Kft.,,,,customers
place_o-990021,2023-04-12 03:57:11+00:00,place order,Eastern Oak Insurance Zrt.,,,,customers
confirm_o-990019,2023-04-12 08:55:57+00:00,confirm order,Nordica Systems GmbH,,,,customers
confirm_o-990021,2023-04-12 11:44:39+00:00,confirm order,Eastern Oak Insurance Zrt.,,,,customers
place_o-990022,2023-04-12 13:23:13+00:00,place order,Iberian Sun Solaridades SA,,,,customers
confirm_o-990020,2023-04-12 14:26:45+00:00,confirm order,Pantheon Art Gallery Kft.,,,,customers
place_o-990023,2023-04-12 18:06:45+00:00,place order,Riviera Robotics SAS,,,,customers
