ocel:eid,time:timestamp,concept:name,case:concept:name,case:role,case:weight,case:price,case:ocel:type
pick_i-880003,2023-04-03 13:21:49+00:00,pick item,Leah Tacke genannt Unterberg,Warehousing,,,employees
pick_i-880001,2023-04-04 09:50:21+00:00,pick item,Leah Tacke genannt Unterberg,Warehousing,,,employees
pick_i-880006,2023-04-04 10:01:31+00:00,pick item,Leah Tacke genannt Unterberg,Warehousing,,,employees
pick_i-880020,2023-04-04 15:08:41+00:00,pick item,Benedikt Knopp,Warehousing,,,employees
out_of_stock_i-880016,2023-04-04 15:42:47+00:00,item out of stock,Benedikt Knopp,Warehousing,,,employees
pick_i-880015,2023-04-04 15:54:23+00:00,pick item,Christopher Schwanen,Warehousing,,,employees
confirm_o-990002,2023-04-04 16:09:41+00:00,confirm order,Istvan Koren,Sales,,,employees
pick_i-880002,2023-04-04 16:12:13+00:00,pick item,Nina Graves,Warehousing,,,employees
confirm_o-990001,2023-04-04 16:34:29+00:00,confirm order,Wil van der Aalst,Sales,,,employees
pick_i-880009,2023-04-04 16:57:22+00:00,pick item,Marco Pegoraro,Warehousing,,,employees
pick_i-880021,2023-04-04 17:31:37+00:00,pick item,Mahsa Bafrani,Warehousing,,,employees
confirm_o-990005,2023-04-04 20:51:37+00:00,confirm order,Wil van der Aalst,Sales,,,employees
pick_i-880023,2023-04-05 09:43:34+00:00,pick item,Leah Tacke genannt Unterberg,Warehousing,,,employees
pick_i-880025,2023-04-05 10:37:14+00:00,pick item,Detlef Wetzeler,Warehousing,,,employees
pick_i-880012,2023-04-05 11:03:07+00:00,pick item,Mahsa Bafrani,Warehousing,,,employees
pick_i-880032,2023-04-05 11:10:48+00:00,pick item,Nina Graves,Warehousing,,,employees
pick_i-880031,2023-04-05 11:20:35+00:00,pick item,Christopher Schwanen,Warehousing,,,employees
reorder_i-880016,2023-04-05 11:26:59+00:00,reorder item,Leah Tacke genannt Unterberg,Warehousing,,,employees
confirm_o-990006,2023-04-05 11:27:31+00:00,confirm order,Mara Nitschke,Sales,,,employees
pick_i-880011,2023-04-05 11:47:56+00:00,pick item,Leah Tacke genannt Unterberg,Warehousing,,,employees
pick_i-880008,2023-04-05 12:35:22+00:00,pick item,Benedikt Knopp,Warehousing,,,employees
pick_i-880030,2023-04-05 13:15:10+00:00,pick item,Nina Graves,Warehousing,,,employees
out_of_stock_i-880036,2023-04-05 13:24:16+00:00,item out of stock,Marco Pegoraro,Warehousing,,,employees
out_of_stock_i-880018,2023-04-05 14:08:04+00:00,item out of stock,Detlef Wetzeler,Warehousing,,,employees
out_of_stock_i-880010,2023-04-05 14:24:55+00:00,item out of stock,Nina Graves,Warehousing,,,employees
pick_i-880004,2023-04-05 14:53:49+00:00,pick item,Mahsa Bafrani,Warehousing,,,employees
pick_i-880029,2023-04-05 15:09:33+00:00,pick item,Christopher Schwanen,Warehousing,,,employees
pick_i-880022,2023-04-05 15:20:58+00:00,pick item,Benedikt Knopp,Warehousing,,,employees
confirm_o-990003,2023-04-05 15:27:08+00:00,confirm order,Jan Niklas Adams,Sales,,,employees
pick_i-880013,2023-04-05 16:29:50+00:00,pick item,Nina Graves,Warehousing,,,employees
out_of_stock_i-880033,2023-04-05 16:34:46+00:00,item out of stock,Mahsa Bafrani,Warehousing,,,employees
reorder_i-880010,2023-04-05 17:19:01+00:00,reorder item,Detlef Wetzeler,Warehousing,,,employees
reorder_i-880033,2023-04-05 17:53:54+00:00,reorder item,Christopher Schwanen,Warehousing,,,employees
confirm_o-990007,2023-04-05 18:01:56+00:00,confirm order,Istvan Koren,Sales,,,employees
pick_i-880014,2023-04-05 19:08:54+00:00,pick item,Benedikt Knopp,Warehousing,,,employees
pick_i-880039,2023-04-06 08:19:37+00:00,pick item,Mahsa Bafrani,Warehousing,,,employees
confirm_o-990008,2023-04-06 09:27:43+00:00,confirm order,Wil van der Aalst,Sales,,,employees
pick_i-880045,2023-04-06 09:32:12+00:00,pick item,Christopher Schwanen,Warehousing,,,employees
out_of_stock_i-880034,2023-04-06 09:40:04+00:00,item out of stock,Christopher Schwanen,Warehousing,,,employees
confirm_o-990009,2023-04-06 10:12:38+00:00,confirm order,Istvan Koren,Sales,,,employees
out_of_stock_i-880035,2023-04-06 10:55:11+00:00,item out of stock,Detlef Wetzeler,Warehousing,,,employees
reorder_i-880034,2023-04-06 11:18:28+00:00,reorder item,Benedikt Knopp,Warehousing,,,employees
pick_i-880047,2023-04-06 11:55:00+00:00,pick item,Christopher Schwanen,Warehousing,,,employees
pick_i-880024,2023-04-06 12:01:11+00:00,pick item,Marco Pegoraro,Warehousing,,,employees
out_of_stock_i-880007,2023-04-06 14:09:37+00:00,item out of stock,Marco Pegoraro,Warehousing,,,employees
pick_i-880019,2023-04-06 14:26:25+00:00,pick item,Detlef Wetzeler,Warehousing,,,employees
reorder_i-880035,2023-04-06 14:59:08+00:00,reorder item,Marco Pegoraro,Warehousing,,,employees
confirm_o-990004,2023-04-06 15:26:08+00:00,confirm order,Christine von Dobbert,Sales,,,employees
pick_i-880026,2023-04-06 16:22:52+00:00,pick item,Detlef Wetzeler,Warehousing,,,employees
confirm_o-990010,2023-04-06 16:31:47+00:00,confirm order,Christine von Dobbert,Sales,,,employees
pick_i-880005,2023-04-06 16:31:52+00:00,pick item,Christopher Schwanen,Warehousing,,,employees
pick_i-880017,2023-04-06 17:21:18+00:00,pick item,Detlef Wetzeler,Warehousing,,,employees
pick_i-880041,2023-04-06 17:24:07+00:00,pick item,Leah Tacke genannt Unterberg,Warehousing,,,employees
pick_i-880034,2023-04-06 17:55:10+00:00,pick item,Christopher Schwanen,Warehousing,,,employees
pick_i-880054,2023-04-06 17:57:17+00:00,pick item,Christopher Schwanen,Warehousing,,,employees
pick_i-880049,2023-04-07 08:49:13+00:00,pick item,Detlef Wetzeler,Warehousing,,,employees
pick_i-880042,2023-04-07 09:36:34+00:00,pick item,Mahsa Bafrani,Warehousing,,,employees
